Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
42339,741.226,260.1993305,207.3063941,1.255143777,0.604346666,42676,232.1802944,0.771202186,0.99210329,0.968387491,0.892317032,0.006145618,0.002403378,0.796229686,0.999382735,SEKER
68247,1088.754,370.3681457,237.863792,1.557059789,0.76650688,70172,294.7792042,0.76768279,0.972567406,0.723492282,0.795908632,0.005426878,0.00134333,0.63347055,0.986351522,BARBUNYA
37856,708.716,248.4303303,194.3603238,1.278194672,0.622834724,38232,219.5444288,0.744639836,0.990165307,0.947109324,0.883726349,0.006562509,0.002468999,0.78097226,0.998234581,SEKER
33143,648.385,222.5263095,189.7373793,1.172812181,0.522480157,33377,205.4238989,0.769979556,0.992989184,0.9906854,0.923144321,0.006714127,0.003007791,0.852195437,0.999465189,SEKER
29925,647.57,237.7140308,161.0048485,1.476440201,0.735702549,30321,195.1965506,0.7853094,0.986939745,0.896748339,0.821140216,0.00794366,0.002227767,0.674271254,0.995521186,DERMASON
38489,707.978,244.1193992,200.9500838,1.214826063,0.567804979,38782,221.3723489,0.78887067,0.992444949,0.964954791,0.906819981,0.006342576,0.002645634,0.822322477,0.998978778,SEKER
89592,1155.357,452.2914051,254.9645328,1.773938517,0.825967734,90627,337.7455807,0.795772083,0.988579562,0.843425439,0.74674331,0.005048346,0.00096831,0.55762557,0.989193477,CALI
42379,759.965,251.0375673,215.2179124,1.166434357,0.514794568,42840,232.2899453,0.763585586,0.989239029,0.922090156,0.925319456,0.005923631,0.002678765,0.856216096,0.998719872,SEKER
203536,1735.247,648.1573185,401.698875,1.613540288,0.784795183,206049,509.0678579,0.774879315,0.987803872,0.849431759,0.785407868,0.003184485,0.000747481,0.61686552,0.995337369,BOMBAY
27306,608.784,225.4924114,154.595717,1.458594169,0.727986314,27648,186.4593227,0.801491092,0.987630208,0.925851832,0.826898437,0.00825798,0.002381564,0.683761026,0.997329846,DERMASON
33380,667.768,246.9378447,172.4005594,1.43234944,0.715947953,33734,206.1570663,0.795367899,0.989506136,0.940686669,0.834854077,0.007397778,0.002216784,0.696981329,0.998320817,DERMASON
47884,832.392,322.7953758,189.6906534,1.701693626,0.809115354,48343,246.9165899,0.753390604,0.990505347,0.868449343,0.76493224,0.006741195,0.001423667,0.585121332,0.995697241,SIRA
41451,757.604,282.6748516,187.2938924,1.509258246,0.748993688,41897,229.7325671,0.718637309,0.989354846,0.907528679,0.812709605,0.006819494,0.001835158,0.660496902,0.996860397,DERMASON
53684,902.24,364.9581306,189.8962923,1.921881287,0.853969235,54390,261.4432859,0.663748764,0.987019673,0.828725261,0.71636515,0.006798266,0.001104373,0.513179028,0.98626917,HOROZ
25148,585.498,207.3732686,155.4842351,1.333725368,0.661687716,25433,178.9397331,0.714431818,0.988794086,0.92185472,0.862887171,0.008246114,0.002819974,0.74457427,0.993057592,DERMASON
174621,1591.312,590.5548666,379.9937603,1.554117273,0.765486391,177034,471.5234486,0.766365599,0.98636985,0.866554056,0.79844139,0.003381924,0.000847844,0.637508653,0.99076321,BOMBAY
33409,679.539,248.8774642,171.3799586,1.452197014,0.725130188,33850,206.2465999,0.710029116,0.986971935,0.909168891,0.828707415,0.007449414,0.002167239,0.686755979,0.997304982,DERMASON
45954,795.062,294.8206719,199.020609,1.481357501,0.737766041,46398,241.8893343,0.78029647,0.990430622,0.913547619,0.820462597,0.006415561,0.001793286,0.673158874,0.997188947,SIRA
68309,1097.068,381.5750796,229.1517604,1.665163204,0.799593412,69725,294.913072,0.70008814,0.979691646,0.713215375,0.772883471,0.005586015,0.001229527,0.59734886,0.994683342,BARBUNYA
21961,551.696,204.7763134,136.7099579,1.49788879,0.744514487,22267,167.2172648,0.780419332,0.986257691,0.906697265,0.816584995,0.009324544,0.002557484,0.666811053,0.998808802,DERMASON
93503,1179.367,453.2093773,267.5462336,1.693947888,0.807156928,95555,345.0387183,0.791124461,0.978525457,0.844768023,0.76132299,0.004847004,0.001004451,0.579612696,0.981833701,CALI
74783,1047.582,395.0915622,244.418388,1.616455969,0.785676688,76817,308.5719898,0.791957894,0.973521486,0.856321192,0.781013869,0.005283173,0.001212578,0.609982664,0.986010118,CALI
54010,914.213,378.3393914,182.9928585,2.067509052,0.875248328,54525,262.2359011,0.597244338,0.990554791,0.812062127,0.693123442,0.007004988,0.000997308,0.480420105,0.993272916,HOROZ
29551,636.078,231.8799753,162.6597673,1.425552115,0.712686583,29924,193.9729409,0.761466708,0.987535089,0.917827986,0.836523036,0.007846773,0.002370186,0.699770789,0.997559729,DERMASON
138777,1403.006,502.613464,353.8114117,1.420568832,0.710256111,140144,420.3526666,0.823700142,0.990245747,0.885948143,0.836333876,0.003621735,0.001092987,0.699454352,0.993623053,BOMBAY
35781,688.213,240.1784495,189.8509594,1.265089469,0.612516338,36108,213.4426952,0.775706202,0.990943835,0.949328664,0.888683792,0.006712458,0.00258256,0.789758882,0.999115645,SEKER
70938,1026.906,403.3067677,226.2540259,1.78253963,0.8278176,72261,300.534635,0.792638777,0.981691369,0.845332218,0.745176275,0.005685342,0.001081365,0.555287681,0.989822298,CALI
23090,558.141,209.5732133,140.4901513,1.49172886,0.74203322,23315,171.4616607,0.727060898,0.99034956,0.931420827,0.818146833,0.009076363,0.002508515,0.66936424,0.998509955,DERMASON
41980,734.386,253.3075393,211.1406618,1.199709886,0.55246688,42277,231.1938496,0.772941523,0.992974904,0.978145633,0.912700231,0.006034005,0.002582843,0.833021711,0.999384382,SEKER
93494,1160.772,447.7111926,267.3885695,1.674384187,0.802066677,94456,345.0221123,0.710052251,0.989815364,0.871966415,0.770635441,0.004788662,0.001041813,0.593878983,0.994381578,CALI
